global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
1236.6556524385724	n/a	n/a	1529317.202708271	1747.327886865494	n/a	n/a	3053154.744217833	1205.833184021341	n/a	1454033.667687045	n/a	1330.9080037103183	1271.807609015303	n/a	n/a	n/a	n/a	-0.0481339298	-0.0079175558	-0.1627377488	0.1296694234	-0.0052544777	0.2447748482	0.0709137012	-0.176068441	0.1560141201	-0.2439888639	0.0386658095	-0.0919909926	0.0767524507	-0.1040481699	0.0889097316	-0.1947792689	0.0265696125	-0.0961230536	-0.1724767196	0.1605291689	-0.1279289056	0.009608729	-0.1049078803	0.0129703931	-0.0569695451	0.0348019892	-0.1785237263	0.0170743723	-0.0099519815	0.000651692	0.0025083181	-0.2409571772	0.0245230081	-0.0617560445	-0.1728072534	0.0693035449	0.0042204551	-0.1766217391	-0.0207705518	0.103919878	-0.1518509282	-0.0691037916	0.153281264	-0.1116168145	0.1340371416	-0.2239055682	0.1673654712	0.0566128448	-0.1117903393	0.0035345728	-0.0100171063	0.0570839449	-0.0512128554	0.0069474412	-0.0031095772	0.0827311641	-0.0802461838	0.0524117526	-0.1605536608	0.1372522277	-0.2036255517	0.0239303422	0.0005364832	0.0869439407	-0.1967112862	0.1284218987	0.0445114469	0.148235056	-0.0834892408	0.1101325419	-0.1073316742	0.1144999566	-0.0424922512	0.0587978462	-0.0543617303	0.0648597696	-0.0617206707	0.1565823297	-0.0331316375	0.1520589649	-0.3279891949	0.3205333398	-0.2717050281	0.2147330501	-0.1301951865	0.0391517331	-0.0630233509	0.00905649	-0.2886663767	-0.0584758515	0.0829825372	0.153366806	0.1532882396	-0.0404710405240109	n/a	n/a	0.0016379051210961	-0.0627551497858007	n/a	n/a	0.0039382088246382	-0.0168183934669201	n/a	n/a	0.0002828583588081	-0.0027650062560367	n/a	n/a	7.645259595922089e-06	8.138947216185244e-07	n/a	6.624246178784953e-13	n/a	-0.0002269996937773	n/a	n/a	5.152886097498799e-08
1236.2671647691675	-0.3884876694048671	0.1509226692796253	1528356.502686396	1740.223102244925	-7.104784620569035	50.47796450467428	3028376.445586951	1204.9756021445753	-0.8575818767656074	1451966.2017636818	0.7354466753568214	1329.44140527329	1262.3142283594184	1.13576	23.198147	0.0630982774220088	0.0364398212945849	0.1132556013	-0.0344646663	-0.0155944291	-0.1141259898	0.1565631713	0.0542009006	-0.0247398443	0.0450474334	0.037174744	0.1147176083	-0.0354390343	-0.121410629	0.1205659905	0.0627052468	-0.1453500814	-0.0406993281	-0.1620363908	-0.050431293	0.0850310781	-0.0526780706	-0.1386008875	0.0716206838	-0.1081024969	0.1164474859	0.1117210567	0.1860916658	-0.0524075062	-0.0128074971	0.0600391938	0.1619451205	0.2533262024	-0.2060759739	0.0855857659	0.0115794191	0.1031109388	0.1972924873	0.0608819872	-0.1154887726	0.0096218997	0.1545153392	0.0452877604	0.0884961028	-0.1041653598	-0.0546799446	-0.1743776313	-0.0788935183	0.0860317157	0.0335367242	-0.0841646597	0.1047610094	-0.0632978728	-0.1232497185	0.079980927	-0.0821353614	0.2623826148	-0.0825382544	0.0567366128	0.0524791017	0.0023441704	-0.0639432066	-0.1981956279	0.1822091349	0.0666740398	-0.0488636823	0.1692153576	0.0378929635	-0.1123825258	0.0923084954	-0.1029585904	0.1377371745	0.0111058513	0.0418659873	0.2250694489	-0.0684404425	-0.0878840357	0.003827189	-0.1475584797	0.1636666005	0.038973731	0.1143413599	-0.0069456557	0.1590897812	-0.1172072949	0.0301560523	-0.1124268165	0.1204850439	-0.0245524382	0.0505969491	0.166005411	-0.0885912948	-0.1682396261	0.1531573254	0.1524510324	-0.0343540056960449	0.0061170348279659	3.741811508654897e-05	0.0011801977073638	-0.0739169203618104	-0.0111617705760097	0.0001245851223914	0.0054637111157742	0.0173228055834471	0.0341411990503672	0.0011656214725967	0.0003000795932819	-0.0026850156974267	7.99905586100001e-05	6.398489466739862e-09	7.209309295427788e-06	-0.0001006252256672	-0.0001014391203888	1.0125436040574924e-08	1.0289895145257216e-08	-0.0002791354741318	-5.213578035449996e-05	2.718139593172664e-09	7.791661291878478e-08
1237.8485477941267	1.581383024959223	2.5007722716291823	1532269.0272760284	1737.994033975804	-2.229068269120944	4.968745348401841	3020623.2621354884	1207.3107142906404	2.335112146065057	1457599.1608409763	5.452748734700558	1331.148567955275	1254.9252888449566	1.099668	22.460941	0.0826277974593893	0.0365987302979363	-0.0928758862	0.0803169865	-0.1242289673	-0.030410481	0.0192243034	-0.060104802	0.0453742013	0.1847016553	-0.0168915632	0.0807008686	0.1577695321	0.1229250111	0.208963717	-0.0145045124	0.0811630724	0.0441157016	-0.0992164624	0.0201280318	-0.1525869595	-0.0985328243	-0.1937375984	0.0786588741	-0.0872961786	0.0434557248	0.0622162211	-0.1485641722	0.0445131581	-0.0397492491	-0.0723808293	-0.1005039405	0.0056566313	-0.0901968517	-0.1087846754	-0.0698472841	0.0853295682	-0.099300029	-0.0054943833	0.0170061981	0.218916317	0.0408378609	0.0421325781	0.1003988271	0.1334578202	-0.0343558961	-0.1935166422	-0.079834637	0.1832961053	0.067742587	-0.0238907452	0.0049060168	0.1498117853	-0.0620926374	0.1291254359	-0.0527473281	0.1749026213	0.01476537	-0.0271469099	0.0591371384	-0.1701415493	-0.0722998725	0.1149606752	-0.121624846	-0.0447983049	-0.0586418647	0.0550529273	-0.1880747363	0.1768802765	0.0012813992	-0.2358278863	0.1402814327	-0.0244037619	0.0137635238	0.0056665044	0.0147014301	0.021950361	0.1417167274	-0.1362397858	0.2657118418	-0.0377670209	0.0584835525	0.0694982347	-0.0040185381	0.0193384657	0.0940099644	0.1779577187	0.0710224023	-0.0535449572	-0.0894600191	-0.0164286071	-0.0845142164	0.1353161153	0.1527386503	0.1507811905	-0.0491996684763762	-0.0148456627803312	0.0002203937033873	0.0024206073781853	-0.0582292817183542	0.0156876386434561	0.0002461020062076	0.0033906492494354	0.0056365579239852	-0.0116862476594618	0.0001365683843582	3.177078523044035e-05	-0.0023075860720953	0.0003774296253313	1.4245312207780085e-07	5.324953480128216e-06	-0.0004035309429302	-0.000302905717263	1.6283722190213633e-07	9.175187355061249e-08	-0.0004069650990602	-0.0001278296249284	1.634041300933543e-08	1.656205918530784e-07
1237.7283040998743	-0.1202436942523945	0.0144585460074633	1531971.354769951	1743.683629949042	5.689595973237829	32.37150233868412	3040432.6013522674	1208.0049883309057	0.6942740402653271	1459276.0518323516	0.482016442986341	1331.8819152537176	1255.2941812130773	1.071632	21.888302	0.0280722006487303	0.0189410089444901	0.0865808143	0.084466396	-0.0930071426	-0.0694865169	-0.1676174029	0.0094809446	0.0211142961	-0.0031258331	0.1237609939	0.0723590067	0.2078282448	0.0686929188	0.0677270633	-0.155010294	0.0297260079	-0.0511463321	-0.1125597426	0.0439594602	-0.0631042037	-0.1697699018	0.0703328923	-0.0762136242	-0.0965407017	0.0436363256	0.1157988818	-0.1213857526	-0.141832628	0.0036208167	-0.0020241945	0.0344186157	0.285145924	-0.0565485991	0.0139902192	-0.0655092787	-0.0532142691	-0.0779318706	0.0351078095	0.0201080136	0.046026322	-0.3572402597	0.046553745	0.1047973666	-0.0050219045	0.1323453289	-0.030270213	-0.0649145248	0.1554799976	0.0170023809	-0.1340652372	-0.0390041693	-0.071488966	0.0897967195	0.098692819	-0.1033128531	0.1333240137	-0.0519637858	0.2508586393	-0.0573222266	-0.0018559099	-0.1552452265	0.0602673402	-0.2123148924	-0.1882881337	-0.1103044194	-0.1513792876	0.0049887352	-0.024091104	0.0897675764	-0.1914786805	0.1165415222	0.0748041573	0.1057368896	0.0502734521	-0.0721730453	-0.1280437312	0.0931915851	-0.0202134805	0.1066299013	-0.0347720314	-0.070253319	0.1273228279	0.0491464384	0.0114500298	-0.1683080954	0.0464708988	0.0391510908	-0.00324152	-0.0195356842	-0.150299801	0.1590544477	-0.2210812793	0.1521113526	0.148287834	-0.0512281406103909	-0.0020284721340147	4.114699198474174e-06	0.0026243223903979	-0.0661570795957118	-0.0079277978773576	6.284997918423572e-05	0.0043767591806333	0.0043782633000972	-0.001258294623888	1.5833053605054444e-06	1.9169189524978023e-05	-0.002631090033164	-0.0003235039610687	1.0465481282713901e-07	6.922634762614939e-06	-0.0004029480165663	5.829263638999793e-07	1.623671040547152e-07	3.398031457296511e-13	-0.000420030931897	-1.3065832836799997e-05	1.7071598771920102e-10	1.7642598375026225e-07
1237.5360697516016	-0.1922343482726773	0.036954044655821	1531495.5239362412	1746.8616979071437	3.178067958101792	10.100115946313297	3051525.791615029	1205.5930315437963	-2.411956787109375	1453454.557706961	5.817535542882979	1332.8267517458414	1269.215425076692	1.060991	21.670965	0.0271012645796139	0.0152326302300085	0.1346419022	-0.0047210946	-0.0277891684	-0.198836138	0.1393349509	0.0290948108	-0.0428841903	0.0112314717	0.1373737464	0.1978314196	-0.0189543904	-0.116106526	0.0729427868	0.0525020561	0.0906484665	0.2278137704	-0.0883990472	-0.049547944	0.002156177	-0.2241460527	-6.06062e-05	0.2184197089	-0.0306337553	-0.171886224	0.0370941651	0.0346112958	0.0091869117	0.1860051245	0.0031448115	-0.0772716263	-0.1305436261	-0.1332951987	0.045966886	0.1492062839	-0.0534013444	-0.1221196487	0.002464749	-0.0657650221	0.1050403068	0.0750865502	-0.0267224983	0.0680315387	-0.0614140194	0.1354015112	-0.2260362712	-0.0511638022	-0.1441637842	0.0605592635	-0.0195443934	0.0549072791	0.0706317701	-0.0618960712	0.0942279205	-0.0316936165	-0.1223306565	0.0349881168	0.0741877182	-0.1007488124	-0.1326998994	0.0216910493	-0.1685759557	-0.0106561752	0.0022341135	0.2298791544	-0.2817040073	-0.0626732431	-0.0810086383	0.0079686373	-0.2110771983	0.0279837868	0.1675875864	-0.1377770123	0.2115717119	-0.0756114772	0.0182426971	0.0929016144	0.0308625513	0.0630817732	0.0619533653	0.0699407688	0.0604754689	0.1266806763	0.1826864763	-0.0451211233	0.1485138689	-0.0089470431	0.0241329179	0.1884884685	0.0910459934	0.0665964255	0.0103560102	0.151276289	0.1449845808	-0.0512031277463478	2.5012864043105765e-05	6.256433676388931e-10	0.0026217602910088	-0.0591352400099509	0.0070218395857609	4.930623116815891e-05	0.0034969766110344	0.0042375028580323	-0.0001407604420648	1.981350205030597e-08	1.7956430471831912e-05	-0.0025150347092322	0.0001160553239318	1.3468838212915057e-08	6.3253995886426975e-06	-0.0001750408503249	0.0002279071662414	3.063929928246404e-08	5.1941676424185145e-08	-0.0003657203883153	5.431054358170001e-05	2.949635144139736e-09	1.3375140242949382e-07
1238.9225767537257	1.3865070021240626	1.9224016669390556	1534929.1511900914	1739.9500302253884	-6.911667681755262	47.77115014302015	3027426.1076813303	1206.9319678699903	1.338936326194016	1456684.7750665273	1.7927504856019287	1331.357196236578	1266.115813783035	1.13278	23.137266	0.0696719253213651	0.0431564373132676	-0.1442902412	-0.0710125495	-0.064133052	-0.1727307803	-0.0039466873	-0.0462581606	0.0228132033	0.1580138868	-0.0997329312	0.0017091389	0.1398846075	-0.0456699456	0.0984967199	-0.0580291162	0.1641970568	-0.0088321991	0.0065053854	0.0445262522	-0.0131187926	0.0004084187	-0.0281170765	0.0840819342	0.1260159278	0.3073200737	-0.106392288	-0.0406400581	0.0806600322	-0.1094361991	-0.0038416885	-0.1810395466	-0.0152325111	-0.0011691566	0.0187956393	0.0439125297	-0.1704973195	-0.0088835778	-0.2233337312	0.0825179606	-0.0999035503	-0.0685552835	-0.0855732634	0.003962441	0.051262045	-0.120843909	-0.0518709136	0.0223712234	0.0001425753	0.0220327457	0.0737509476	-0.0079405501	-0.0134415373	-0.031105195	0.1153868535	0.1464969262	-0.0510725616	-0.1573928817	0.0935646751	-0.0784238953	0.0812586201	0.1597365966	0.2709766964	-0.0918222115	0.0548625718	-0.0300625089	-0.0528394643	0.049450916	0.0386620622	0.1053402445	-0.0207486221	0.0877621677	-0.1176644179	-0.1488378748	-0.086150049	0.0673192906	0.0489113747	0.0340759136	0.1646243982	-0.0047208535	0.1452755066	0.0313581569	0.1411802381	0.0061181395	-0.099337012	-0.169647878	0.085453114	-0.0639127742	-0.0422239565	-0.0642185268	0.0929727548	0.0380338644	-0.1508802608	0.1502346003	0.1408894722	-0.0512090517418784	-5.923995530600357e-06	3.5093723046573004e-11	0.0026223669803023	-0.0402795107078759	0.018855729302075	0.0003555385275131	0.0016224389828658	-0.0302722304056572	-0.0345097332636895	0.0011909216899309	0.0009164079337331	-0.0022540431698794	0.0002609915393528	6.811658361374424e-08	5.0807106116799735e-06	-0.0002050488528664	-3.000800254150001e-05	4.204503206182656e-08	9.004802165306712e-10	-0.0004007316216224	-3.501123330710003e-05	1.2257864576841907e-09	1.6058583256811837e-07
1236.3638987140548	-2.5586780396708946	6.546833310694092	1528595.6900434175	1748.7417247041742	8.791694478785757	77.29389180831197	3058097.61972133	1208.9798273636122	2.0478594936219	1461632.2229721495	4.193728505617344	1333.7650602405197	1255.909710865247	1.085653	22.174685	0.060584602080444	0.0268876076280765	-0.0463853603	0.1086899424	-0.0507050945	0.1658526242	0.0241644158	0.0218934044	0.06174383	-0.1954298314	0.1047659719	-0.181869769	0.0534617484	-0.0196542876	-0.0500456039	-0.0750904098	0.0256586531	-0.2082901903	-0.0334447016	-0.0325400248	-0.0910862103	0.0873666376	0.0094176983	-0.0309361565	-0.024699409	0.1913667941	-3.2881e-05	-0.1246092897	-0.0027448875	-0.0261718364	-0.0354727216	-0.1133298708	0.0393782846	0.1578377153	0.059904554	0.1036867285	0.0199892086	0.0987914992	0.1282594776	0.0518435955	-0.0597368025	-0.1095763184	-0.072430778	-0.0784084084	0.0998531793	-0.0008050023	0.2429677121	-0.0448549177	0.0344507876	0.0500167526	-0.0726609141	-0.113861247	0.0369428885	-0.0061135451	0.0728562016	0.0065431068	-0.0103354131	-0.0662612361	-0.0051522166	-0.0184427964	0.0122655486	0.1002448911	0.1053238937	-0.0530906935	-0.0307396987	-0.0544738951	0.0404208445	0.0655930924	-0.217566401	0.1294172964	0.0007161365	0.0741967259	-0.1054532674	-0.0323099507	-0.1809401049	0.0231195844	-0.1243151594	0.035600617	0.134388927	0.0042221369	0.0407110713	0.1146429332	-0.0972031992	-0.1094347568	0.1075794043	0.0386828494	0.0601249226	-0.0463299885	-0.0064290127	-0.0161674927	-0.0421843744	0.100305544	-0.1336723381	0.1489877092	0.136024874	-0.0472751512636335	0.0039339004782448	1.5475572972735447e-05	0.0022349399269994	-0.0532125069083662	-0.0129329962004903	0.0001672623907218	0.0028315708914729	-0.0118839139521256	0.0183883164535316	0.0003381301819952	0.0001412274108215	-0.0019720101863451	0.0002820329835342	7.954260380125861e-08	3.888824175048837e-06	-5.117457951575588e-05	0.0001538742733506	2.618837588614421e-09	2.3677291999188746e-08	-0.0003300510995438	7.068052207860002e-05	4.9957362013034646e-09	1.0893372831007137e-07
1235.168752709655	-1.195146004399703	1.4283739718325752	1525641.847670325	1736.8416640910696	-11.900060613104642	141.61144259556443	3016618.966122636	1205.8180674752273	-3.1617598883849496	1453997.2118496918	9.99672559180001	1329.2044133725374	1260.4596686759014	1.044773	21.339708	0.0771991358650662	0.0388485201363718	0.1186127073	0.0435042349	0.1647087242	-0.0346924842	-0.123288709	0.0094860217	-0.134115908	-0.2003384553	-0.144548479	0.0217833481	0.0836507197	-0.0630100339	0.0355124871	0.0403687342	-0.1765904488	-0.0142269587	0.0084623153	0.0266857657	-0.0145488616	0.0359627105	-0.1073249402	-0.1832713754	-0.1403301903	-0.0898093764	-0.0558119559	0.0775665994	-0.1869057268	0.0330589271	-0.0702068035	0.0191126665	-0.0837246455	0.1982976643	-0.0148862662	-0.0584815253	0.1425416688	0.0436833631	0.0154311976	0.1780986292	-0.3069989062	-0.0767542629	-0.1728206237	0.171352154	-0.055757649	0.0213948384	0.2088597341	-0.2002471241	-0.0369763153	-0.188478106	0.0548550095	0.1075760803	-0.0427666913	0.0025692602	0.0874390482	-0.1205270909	-0.0363276505	-0.0645456804	0.0106731671	-0.0438744273	0.1417378128	-0.1715068991	0.1034645764	-0.0016177442	-0.0279862091	-0.0410824136	0.0841007047	0.1231987987	-0.1511669376	0.1094979479	0.0310449084	-0.0835232456	0.0474041858	-0.0010578478	-0.0656764277	-0.051551255	-0.174739672	-0.0990322666	0.1436111832	-0.0457657087	-0.017963276	-0.0112673713	-0.0582282205	-0.0580427974	0.2100755428	-0.1878310913	-0.1386378798	-0.0050152818	-0.0241361976	-0.0092264116	-0.0604403545	0.0490674932	-0.0642206671	0.1475373187	0.1304173552	-0.0246373500249603	0.0226378012386732	0.0005124700449216	0.0006069990162524	-0.0754840146436777	-0.0222715077353114	0.000496020056804	0.0056978364667269	-0.0126581264473699	-0.0007742124952443	5.994049877924056e-07	0.0001602281651576	-0.0018460376301723	0.0001259725561728	1.5869084908709282e-08	3.4078549320121613e-06	-0.0004038355909343	-0.0003526610114185	1.630831845052553e-07	1.243697889747505e-07	-0.0001783723792184	0.0001516787203254	2.300643419955091e-08	3.18167056680327e-08
1235.6250384021228	0.4562856924676453	0.2081966331506785	1526769.2355262474	1733.8942955504072	-2.94736854066241	8.686981314486465	3006389.4281422426	1204.6201708087813	-1.1978966664460131	1451109.755919377	1.4349564234824708	1329.5013021570471	1245.8207152257323	1.038699	21.215649	0.0441238985276834	0.0238070459245208	0.089550249	-0.1361164255	0.1337056369	0.1054404059	0.0050303887	0.0343458425	-0.1315246998	-0.0147185143	-0.0848752292	-0.0189909083	-0.16398492	0.0482017989	0.046523427	-0.0565805635	-0.1762213862	0.0543022004	-0.0899914712	0.1476404271	0.1612952085	-0.0549027283	-0.1672547913	0.0926256973	0.0429915755	-0.0768189266	-0.1612143909	0.1113623556	0.0310789836	-0.0310008562	-0.0330164997	-0.0728310952	-0.0520896116	0.0374883305	-0.225242604	-0.0386745494	0.0162537853	0.0641397197	-0.1304529204	-0.0527800804	-0.1283862412	0.0017429871	0.0614667472	0.2491831208	-0.169260566	-0.0139775713	0.0212753052	0.0386647331	-0.1427790964	0.040034852	0.0155264014	0.06716927	0.1182350137	-0.1592909925	0.0710392333	-0.1159485863	-0.0331303619	0.1965074978	0.0075881327	-0.0177431326	0.0082065774	-0.1807978806	0.1412981051	0.0607145493	0.055939711	0.090486739	0.095926095	0.0349274516	0.1770803218	0.0675114524	-0.0161562767	-0.1209703635	0.0166011117	-0.1557893183	0.084094191	0.0132079401	-0.0125934583	-0.1000977642	0.1067223295	-0.0851344971	-0.0067039735	-0.026814723	-0.0409742657	0.1069727757	0.2106800031	0.120013947	-0.0220168971	-0.2008954364	-0.0214884748	0.1366271436	0.2015803071	-0.0441667999	0.1268384186	0.1458854101	0.124097542	-0.024659628879931	-2.227885497069898e-05	4.963473788054387e-10	0.0006080972964959	-0.0594544416479578	0.0160295729957198	0.0002569472104251	0.0035348306316704	-0.0229708407650974	-0.0103127143177275	0.000106352076599	0.0005276595254554	-0.0019239814920345	-7.79438618621999e-05	6.075245601993701e-09	3.701704781691301e-06	-0.0004045947670081	-7.591760737999872e-07	1.636969254903387e-07	5.763483110303637e-13	9.811123003090632e-05	0.0002764836092493	7.644318618352311e-08	9.625813458177414e-09
1236.3356811243386	0.71064272221588	0.5050130786383964	1528525.9164211825	1739.033797243808	5.139501693400916	26.414477656470886	3024238.547956218	1207.4888667737025	2.868695964921244	1458029.3633824403	8.229416539155427	1333.1404894584618	1259.4437051856	1.081254	22.084831	0.0360383260788832	0.0197450206695739	-0.1483281565	-0.0379460862	0.0893565808	-0.0229265507	-0.0684406929	-0.0394378907	-0.0263661615	0.0506989107	-0.206398424	-0.1037527215	-0.0241781316	0.1742276511	-0.0265114747	0.1516493939	0.0572516563	0.0899377308	-0.0360865715	0.0847216235	-0.1207886052	0.0832664422	0.0722376804	0.2076307044	0.0069788643	0.1654101649	-0.086806235	0.2062866809	0.0560342293	0.0437897234	-0.131560631	0.1113410877	-0.1531780004	0.0948853327	-0.1112464032	-0.0387495121	0.1486016705	-0.0431518758	-0.0523633621	-0.1550713286	0.1497937532	-0.0699882048	0.2372726475	-0.2115452295	0.0288434016	-0.0906351599	-0.0571899649	-0.019297522	0.0417733302	-0.0530704286	0.275685575	-0.0999034229	0.1364417697	-0.1484949656	0.0259643151	0.0348940043	-0.0135017423	0.0420001732	-0.2768131132	-0.0481636088	-0.0768620261	0.0325301515	-0.0072249581	0.0602522066	-0.1699399441	0.0580260409	0.1323283123	0.0335029386	0.2282620327	0.0298077657	0.0040244526	-0.062272986	-0.1636486578	-0.0853299909	-0.088229729	0.0725221474	-0.0568139323	-0.0398045706	0.0685010629	-0.0103628279	-0.0139718542	0.1326707131	-0.0017425479	-0.0288610187	0.003904378	-0.0705203115	0.0785647041	-0.1727217936	0.0677595729	-0.1970374609	0.2185961417	-0.175702121	0.1669744273	0.1440342395	0.1170999511	-0.024642526467133	1.710241279799865e-05	2.9249252351314804e-10	0.0006072541106833	-0.0508801066362849	0.0085743350116729	7.351922089239973e-05	0.0025887852513197	-0.0300228333086494	-0.0070519925435519	4.973059883431299e-05	0.0009013705198789	-0.0020160479098767	-9.20664178422001e-05	8.476225294294581e-09	4.064449174918211e-06	-0.00040378126327	8.135037380999598e-07	1.6303930856791705e-07	6.617883319026079e-13	-0.000216906770606	-0.0003150180006369	9.92363407252739e-08	4.7048547134723903e-08
