global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
833.6100341412669	n/a	694905.6890210041	n/a	1240.250870003188	n/a	n/a	1538222.2205436649	833.5085235060307	n/a	694736.4587572033	n/a	951.3110758283018	884.9323620921481	n/a	n/a	n/a	n/a	-0.2458453131	0.0356276278	-0.0738022476	-0.1623142355	0.0291842517	-0.009521079	0.0909432219	-0.1167038508	0.2965500032	-0.1277119119	0.1597230573	-0.0836204024	0.1713008947	-0.1825618906	0.0892760816	-0.2423275033	0.0495594185	-0.0130444176	-0.2659328234	0.1782127363	-0.0317186447	0.0789230046	-0.2330881319	0.1482149658	-0.1512832933	0.008309907	-0.0815395345	0.2791356698	-0.0182382554	0.1238023378	-0.1447781991	0.0210579073	-0.1570944135	0.0853732037	-0.0129602372	-0.0544900689	-0.1364084786	0.0730218615	-0.1771467304	-0.0127477799	-0.0026173162	-0.0113079011	0.1332032283	0.0191790634	-0.1473207055	0.0711632158	-0.1924444153	0.2239032339	-0.1750710053	-0.2446045277	0.0554151908	-0.1830913301	0.1526778692	-0.0255683742	0.2751126802	-0.0838065211	0.0232726992	-0.0075153499	0.0866376223	-0.1386338366	0.1067991481	-0.1280348357	-0.1039990366	0.0298444245	-0.0465458295	-0.0719994442	0.1413658716	0.0966744974	0.0251319486	-0.2596241164	-0.0755900495	0.3497239289	-0.1612285167	0.0690854186	-0.15101569	0.2019980609	-0.0707371472	0.0810118366	0.0463928058	-0.0585418527	0.2053424962	-0.0881882728	0.1308256183	-0.0451402398	0.0045448905	-0.1640377832	0.1773157835	-0.4954571365	0.068709598	-0.1123463085	0.1332717991	-0.0866143438	0.1047510994	0.153366806	0.1532882396	-0.0161997919261978	n/a	0.0002624332584521	n/a	6.207624508647314e-06	n/a	n/a	3.85346020403588e-11	0.1302990902918139	n/a	0.0169778529308742	n/a	-0.003109009513538	n/a	n/a	9.665940155269792e-06	-0.001438996398017	n/a	2.0707106335059e-06	n/a	-4.236942685809314e-06	n/a	1.7951683322833047e-11	n/a
835.1887459153721	1.5787117741052723	697540.241303692	2.492330865698617	1241.5412504968565	1.2903804936684082	1.665081818439925	1541424.676685298	833.097960354989	-0.4105631510416287	694052.2115476428	0.1685621009932312	949.9911484265602	859.0457913002552	1.472268	29.225826	0.1284672798498138	0.0717774719686881	-0.0981684623	-0.0260078935	-0.1054545533	0.2219595897	0.2691832607	-0.0099816061	-0.0016700959	-0.1014924642	0.1539805331	0.2070612481	-0.1033191938	-0.0548301393	-0.0678621754	-0.0528510249	0.0916317887	-0.1094853804	0.2350419172	0.2833666121	-0.2665250087	0.1972768032	-0.0522408755	-0.0937812731	-0.1898016912	-0.0660348932	-0.1078344919	-0.0726343254	-0.0599644047	0.0261964191	0.1895412764	-0.0772738522	0.1990809343	0.0937059857	-0.0169622956	-0.1181469486	0.106096793	-0.222412284	0.1212441808	0.0175606471	-0.1167383965	0.2930857786	0.1913853434	-0.0256551316	-0.1200644846	0.0110731083	0.0012449793	-0.044967449	-0.1870005786	0.1087042582	0.2242802656	-0.3035417112	-0.029459003	0.1140095819	-0.0270703842	-0.0948851744	0.091294968	0.2781312542	0.1822158742	-0.0186033738	0.1580233949	-0.0749080837	-0.389489583	0.0298440669	0.1089661921	0.2059558318	0.166844776	4.913e-06	0.0663473896	-0.1824315335	0.1943593103	-0.2406652547	-0.0737374292	0.2300826733	-0.0318491912	0.0803029826	-0.2228764191	0.1347698023	-0.014390962	0.2063937339	0.3378327515	-0.1222042277	-0.0594685257	0.3586839827	-0.278128205	0.2156018806	-0.1888215823	0.0551293111	0.105292931	0.1856679079	-0.0671620127	0.0709468794	-0.111792886	-0.0335238578	-0.1847632225	0.1531573254	0.1524510324	-0.0069494048995153	0.0092503870266825	4.829422845740726e-05	8.556966014341592e-05	0.0186023662480891	0.0185961586235804	0.0003458171155533	0.000346048030028	0.0906470334943065	-0.0396520567975074	0.0082168846813179	0.0015722856082727	-0.0021700067081067	0.0009390028054313	8.817262686078522e-07	4.708929113228076e-06	-0.0017189953141165	-0.0002799989160995	2.9549448899544845e-06	7.839939301689491e-08	-3.865116175739633e-06	3.718265100696814e-07	1.4939123051964165e-11	1.3825495359059888e-13
839.2146712694155	4.025925354043352	704281.264473833	16.20807495632909	1250.024335120335	8.48308462347859	71.96272472909888	1562560.8383930358	834.4266196803043	1.3286593253152432	696267.7836310992	1.7653356027471574	951.7024965328566	877.1192806350382	1.353287	26.863953	0.1223650633895681	0.0621883010122252	0.0686298388	0.0428897723	-0.0785241187	0.1274254989	0.0757177044	-0.0111650783	-0.1983628448	-0.1362389307	0.0167738639	0.0342619416	-0.3428145304	-0.0025942799	-0.0352764749	-0.0322057216	-0.2128960946	-0.1066822092	0.0583615555	0.1260226591	-0.1095382148	-0.1064968913	-0.06471672	0.0123074136	-0.1543048788	-0.0719976281	-0.012906884	0.1833606056	0.0245771062	0.028455999	-0.2497776626	0.0318781632	-0.1901849605	-0.1074637974	-0.1172231517	-0.1445073949	-0.0191040656	0.0254035763	-0.0900937191	-0.0440103579	-0.0259614428	-0.1060175479	0.2168197246	0.0324253841	-0.0810605329	0.080460089	0.0753913464	-0.1442423819	-0.124045013	0.1017946781	-0.1354156408	-0.136510963	0.1918569814	0.1304520081	0.0296209369	0.0646985142	0.203442344	-0.086975278	-0.3599127602	0.183716342	-0.0429969582	0.0276626237	-0.1328165038	-0.0827337206	-0.0119165708	-0.1802740538	0.1296212351	0.1101732774	-0.1473183847	0.0674635315	-0.0723159118	-0.1437739634	-0.0668485879	0.1674524114	0.0706213582	0.0736377313	-0.2161193212	0.1210720577	0.1602588027	0.0387693628	-0.0856318579	-0.1375956163	0.0388627102	-0.2203645082	0.2219636972	-0.2614492283	-0.0238644028	-0.0788674977	0.015457044	0.430383555	-0.089143866	-0.0787051377	0.0300900866	0.2185756396	0.1915843184	0.1527386503	0.1507811905	-0.0175453653656489	-0.0105959604661336	0.0003078398458141	0.0001122743781998	-0.010508303090063	-0.0291106693381521	0.0008474310693152	0.0001104244338326	0.075923491553496	-0.0147235419408105	0.0057643765696737	0.0002167826872828	-0.0021693275608664	6.791472402997711e-07	4.612409740067951e-13	4.705982066334565e-06	-0.0008009739118903	0.0009180214022262	6.415592075288501e-07	8.427632949453586e-07	0.0004361321672472	0.0004399972834229	1.9021126730773967e-07	1.935976094195667e-07
837.247375593631	-1.9672956757844984	700983.1679384225	3.8702522759603872	1251.8993169611151	1.8749818407800376	3.515556903254898	1567251.8998077065	834.4362086245889	0.0095889442845873	696283.7862637783	9.194785249292024e-05	952.1871309458098	873.5098715251303	1.179746	23.41901	0.1247279794694833	0.057880672019374	0.0355099672	0.0426836015	-0.1061956074	0.1211133659	-0.2065608637	-0.053713634	-0.206458559	-0.1947147683	0.007790526	-0.2726282186	-0.0796371472	-0.0128926415	-0.0546511317	0.10902171	0.1495496562	0.0079299675	-0.0257103039	-0.03078271	-0.069145021	-0.1564911622	0.0368972251	0.0575804142	-0.0143931989	0.0585795205	-0.0058633877	0.1267522523	0.1121650105	0.0681541475	-0.1680500633	-0.1186298044	-0.0755604588	0.0450016633	-0.197121773	0.2038066537	0.1844156968	0.0813465042	0.0924781383	0.0087740445	0.0321795471	0.1838060977	-0.0127459106	-0.0395079868	-0.010082321	-0.036378331	-0.0121600965	-0.1454062271	-0.0658968451	0.0384189746	-0.1991311234	0.0801944768	0.1780007481	0.0294968529	0.2478891805	-0.0251782515	-0.0359311473	0.0288996034	-0.0976994844	0.1305275276	-0.0174751484	0.0055362172	0.028144149	0.0542290503	0.0678616117	-0.0698758084	-0.0838852435	-0.0750731615	0.2531091569	0.1690600318	0.1164739993	-0.1162215152	-0.063885	0.0699906193	0.0405678913	0.1629653096	-0.1141344543	-0.0903462541	0.0298726161	0.012699287	-0.2438834028	-0.0033548251	0.0515429756	-0.1069258254	0.028578572	-0.179401402	0.1400825787	0.0276855812	-0.0772533889	0.0288010511	-0.1323691216	0.0866999212	-0.1612663805	-0.0927952782	-0.151330142	0.1521113526	0.148287834	-0.0342860420901871	-0.0167406767245381	0.00117553268221	0.0002802502571954	-0.0002213343024379	0.0102869687876251	0.0001058217268375	4.8988873435671786e-08	0.0319711145454419	-0.043952377008054	0.0010221521652777	0.0019318114446581	-0.00259604542187	-0.0004267178610035	1.8208813289948738e-07	6.739451832412185e-06	-0.0009223851092048	-0.0001214111973145	8.507942896827508e-07	1.4740678833340454e-08	-9.069791342001914e-05	-0.0005268300806672	8.226111498745287e-09	2.775499338958286e-07
835.2436065919278	-2.0037690017031764	697631.882352691	4.015090212186544	1240.7053613583903	-11.193955602724827	125.30464203577456	1539349.7937034538	833.1371806183754	-1.2990280062134616	694117.5617287355	1.6874737609269213	951.54907081692	887.3360226103433	1.258234	24.977053	0.0959982021265197	0.0425370389971333	-0.2062982541	0.037608647	-0.0393725984	0.0051357998	0.0120938444	-0.0161205507	0.0818331634	-0.1162320771	0.149367814	-0.0876819735	0.075634959	-0.0558216107	-0.0635240029	-0.0207513026	0.2171133496	-0.07224063	-0.0160846776	-0.0997876548	-0.1442007244	0.1128758092	-0.1821425732	0.1001627592	-0.055939738	0.071231304	0.044129575	-0.061560456	0.0550758309	-0.1218434087	-0.0444375831	-0.0132747501	0.0886441514	0.0365021615	0.0095179346	-0.1560685312	0.0661656426	0.0589547652	0.0086238599	-0.1912645006	0.014796743	-0.1210338442	0.1524758702	-0.1126832348	0.0247739428	0.1294865722	-0.1234421704	0.0211901729	-0.1563128155	0.0597247989	-0.0894218924	-0.0938094819	-0.0894018865	-0.0320742555	0.0886262038	-0.0972489302	-0.1560932581	0.0412838254	-0.0524443237	0.1323313174	0.0708772935	0.0141741025	0.0353313646	-0.0212910585	0.0248127042	0.1066798404	-0.0501973475	0.0580732665	-0.0722114062	0.2200922033	-0.1285692417	-0.1488706711	-0.0401835211	0.1239641574	-0.0407444983	0.0227327556	0.0161691789	-0.0104607729	-0.0943125466	-0.025423329	-0.1366701668	0.0328736734	0.0796733915	0.038849026	-0.0766804644	0.0907991519	0.1054386076	0.1398526331	-0.2763055996	0.0248072836	0.0621954902	0.1894838011	-0.1339797247	0.0810030505	-0.219191881	0.151276289	0.1449845808	-0.0490590759487901	-0.014773033858603	0.0024067929329491	0.0002182425293874	0.014388676939717	0.0146100112421549	0.0002134524284958	0.0002070340240755	0.0526585982652818	0.0206874837198398	0.0027729279712643	0.0004279719826586	-0.0020300294492925	0.0005660159725774	3.203740812128531e-07	4.121019564994811e-06	-0.0012219650223004	-0.0002995799130956	1.493198515725617e-06	8.974812433036727e-08	-3.774033297468068e-05	5.2957580445338456e-05	1.4243327330397696e-09	2.8045053266244942e-09
836.753204414654	1.509597822726164	700155.9250981917	2.2788855863795745	1238.9126733827195	-1.7926879756707876	3.2137301781146266	1534904.612268317	833.7448289064404	0.6076482880649792	695130.4397282295	0.3692364419882999	950.7188450458732	873.2470159859492	1.107909	21.99297	0.1880773136793386	0.1007776024550982	-0.0708880735	0.0783350114	-0.0374013075	0.0985621071	0.1203265964	-0.0491582984	0.0993960157	-0.09704901	0.0124018278	0.1113191009	0.160699689	-0.0503184629	-0.1678946385	0.0817084992	0.0876292594	0.0741204108	-0.1359066018	0.0501187914	-0.064179838	-0.0197246491	-0.190233544	0.1655506593	0.0953791847	0.1296220029	0.0648658354	-0.0903009679	0.0640849358	-0.140251516	0.0771309511	0.059716679	-0.0728220166	0.0356862954	0.128569153	-0.1786442589	-0.0260145768	0.0296334634	0.2034140988	-0.0382700373	-0.0097171297	-0.100127382	-0.0144810076	0.0077350627	0.1883044418	-0.1076278146	-0.0915511471	-0.0359656573	-0.0824151631	-0.0702007804	0.1091540433	0.0024468822	-0.3718292392	-0.0642787538	0.0383451897	-0.0750821024	-0.1872645113	-0.0557250622	-0.0424999943	0.1678669352	0.002470635	0.1056672908	0.0317832306	-0.0799463162	-0.0066316005	0.0754902107	0.0282708908	-0.1743940983	-0.1676842949	-0.2385080548	-0.0883883011	-0.0528289335	-0.0457719271	0.1195353197	0.0673802357	0.0105543304	0.1304015498	-0.2155834383	-0.0742330877	-0.1442708756	0.1275461396	0.1474818863	0.0878162349	0.1691255266	0.0825892381	-0.0018018798	0.1572136306	0.1703388024	-0.3108079096	0.0506209336	-0.0795852813	0.0251300095	0.1031077367	0.074142551	0.0903965757	0.1502346003	0.1408894722	-0.053419501832792	-0.0043604258840019	0.0028536431760636	1.9013313889873755e-05	0.0079778496828311	-0.0064108272568859	4.10987061176312e-05	6.364608556184828e-05	-0.0220084453870939	-0.0746670436523757	0.0004843716683566	0.0055751674077857	-0.0031510087380727	-0.0011209792887802	1.2565945658741632e-06	9.92885606741051e-06	-0.0002919443232247	0.0009300206990757	8.523148786312813e-08	8.649385007092538e-07	-3.5959983109078424e-05	1.7803498656022551e-06	1.2931203852052055e-09	3.1696456439499685e-12
837.8637013594845	1.1104969448305155	702015.5820558154	1.233203464477909	1241.9128180259515	3.0001446432320336	9.000867880313866	1542347.4475771603	834.3035513894599	0.558722483019551	696062.4158610652	0.3121708130315324	951.1332336940276	880.0346429884336	0.848095	16.835443	0.0600393806835805	0.030925244242975	-0.0459717089	0.107052483	0.0144371761	0.0815826158	0.1150286004	-0.0169530563	0.0436407309	-0.0716603951	-0.0523606252	0.1022979986	0.0695345564	0.0473143515	-0.1574352981	0.1700822798	0.0438733728	-0.0868214462	-0.1556645794	-0.0067792546	-0.0752724054	0.007469898	-0.0717430767	0.1217230891	-0.0293649234	0.0381352928	0.1346619752	-0.1134471878	-0.0625725148	-0.1605232646	-0.1547340191	-0.0456685557	0.080075728	0.0325640937	-0.0246766969	-0.1591441329	-0.0346661674	0.0183033194	0.1201367004	0.0112658015	0.2446243044	-0.0555993755	-0.0895395976	0.1890562536	-0.1132571251	-0.2223548966	-0.0293518887	-0.0076485979	-0.0787707906	-0.0875257001	0.0404544858	2.16675e-05	-0.2251649838	0.0082772241	0.0398007406	-0.0684455916	0.0176905807	0.1364363194	-0.0861916699	0.0809086369	-0.1762335769	0.0236630747	0.0767493266	0.080142656	0.1351332721	-0.0585409334	-0.0280105756	-0.2167578912	-0.122140565	0.0090456185	-0.0958230555	-0.0503660326	-0.0648212209	0.1008488133	0.0606248079	-0.0261569163	0.1764470145	-0.2050928286	-0.0896225034	-0.2195608616	0.1249940809	0.1062727191	-0.0038180562	0.0435067819	0.1039718209	0.0704997356	0.2051594631	0.1795326587	-0.1099197192	0.022840566	-0.0091960058	0.0390057302	0.072688668	0.0590176008	-0.0100419596	0.1489877092	0.136024874	-0.0718719407084904	-0.0184524388756983	0.0051655758612047	0.0003404925004613	-0.0039639907163859	-0.0119418403992169	0.0001426075521203	1.57132223995936e-05	-0.0372512483999116	-0.0152428030128176	0.0013876555073519	0.0002323430436875	-0.0028630095253799	0.0002879992126928	8.294354651167276e-08	8.196823542416039e-06	-0.0002919490248995	-4.701674799977799e-09	8.523423313976887e-08	2.2105745924746278e-17	-3.5917929559729214e-05	4.2053549349210454e-08	1.2900976638576695e-09	1.7685010128664784e-15
837.5442502687473	-0.319451090737175	701480.371158238	0.1020489993731708	1238.9465932294356	-2.9662247965159168	8.798489543465891	1534988.6608748245	833.8451634457236	-0.4583879437362839	695297.7566018256	0.2101195069627785	950.9184584664156	879.3226688679412	1.041293	20.670591	0.0830848438284908	0.0373807665430063	-0.0766098941	0.0570449143	0.1136707703	0.0467816784	0.1945808351	0.0135558257	0.0878360306	-0.1081956851	0.0827544025	0.0298251727	0.0483003036	0.0845035519	0.0895826206	0.1320113863	-0.0670699431	0.0675951955	0.013716372	-0.1097273312	0.0121608573	0.133274166	0.1099628106	0.038981643	0.0409477318	0.0338888768	0.1605540732	-0.1412818291	-0.0746423919	-0.0804656223	-0.0641391168	0.0307316225	0.0881900702	0.0692993244	-0.1549104542	0.0433829231	-0.1183835636	0.0338093516	-0.0050332278	-0.2339611141	0.0361888644	-0.0256403413	-0.2411789861	0.1003125922	-0.019500647	0.0552224752	-0.0390680248	0.0926824183	-0.1124198617	-0.0788061809	0.0241715221	-0.0273777273	-0.0903466865	0.0028771213	-0.0897430109	0.0528522228	0.0440955722	0.1785997954	0.128354923	0.0173849365	0.0102663508	0.0709617117	0.2955828374	-0.0209647553	-0.0456699691	-0.0737008051	-0.0178286159	-0.125289299	0.1607969641	-0.0277350834	0.0806781412	-0.0501447736	-0.0701373305	0.0913536087	-0.0432944868	-0.1094196932	0.1483192923	-0.1021661469	0.0166659913	-0.1793956363	0.0844892044	0.014276969	-0.1495814534	-0.0465360825	0.1163146023	0.0006236716	-0.0039752902	-0.0779519769	0.0895144505	-0.0562546239	0.0984985165	-0.1718064007	0.0279168481	-0.1200892207	0.0546822936	0.1475373187	0.1304173552	-0.0659256467011175	0.0059462940073728	0.0043461908929605	3.5358412422118845e-05	-0.0195920790896622	-0.0156280883732763	0.0002442371462029	0.0003838495630555	-0.0084414443390485	0.028809804060863	7.125798252925397e-05	0.0008300048100253	-0.0026850695036137	0.0001779400217662	3.1662651346155765e-08	7.20959823923632e-06	-0.000565180943705	-0.0002732319188054	3.194294991272744e-07	7.465568145413532e-08	-0.0002387591367276	-0.0002028412071678	5.700592537090879e-08	4.1144555325319086e-08
837.4491438710263	-0.0951063977209969	701321.0685703149	0.0090452268874644	1235.5908321664351	-3.3557610630005	11.261132311950249	1526684.7045337437	834.0802006712202	0.2350372254965123	695689.7811517429	0.0552424973690983	948.9614048901128	869.9882653687388	1.136725	22.565008	0.072654971411722	0.0402887618267676	0.0300899099	-0.1516170271	0.1460443509	0.1234448561	-0.0779528143	0.1349559027	0.1547418038	-0.0521222111	-0.0858468752	0.0867450988	0.0040645899	-0.0891626623	0.0601149895	0.0802781735	0.0665829664	-0.0116513453	0.08198087	-0.1421571079	-0.0445542652	0.1609765587	0.2205151785	-0.1409140647	-0.0310045324	0.0457480856	0.1240251325	0.0405440865	-0.001343254	-0.1233506718	0.0342057977	0.0433396391	0.0930669994	0.1822116806	0.0755370421	0.0952226721	-0.0505127676	-0.0059388842	-0.0342291294	0.0995660418	0.0962744337	-0.0573027184	0.0252342601	0.0496580049	0.0157985806	0.1468589936	0.1407998243	0.143345638	-0.0619336291	-0.0479411232	0.175851851	-0.0939704044	0.028751369	0.1851204425	0.0275505644	0.092196278	0.0752067322	-0.0009207072	0.099202718	-0.1362409587	-0.0212667442	0.1637622905	0.1251182681	0.0545231115	0.0079350058	-0.0483750822	-0.1841517697	0.1238042504	0.0097663605	0.0797720312	-0.1599601363	0.0024070689	-0.0083699712	-0.0846559434	-0.1291774875	-0.1191427256	-0.0196483996	-0.2342210708	0.0626437749	-0.0768273404	0.141188517	-0.0101083693	-0.1627512161	-0.1514827736	0.043229117	-0.0869550256	-0.0403970492	0.0408861957	0.0342603544	-0.0159393173	-0.0332749759	-0.0059650669	0.0645168616	-0.3519291537	-0.0098409257	0.1458854101	0.124097542	-0.0505859552428376	0.0153396914582799	0.0025589388678303	0.0002353061340352	-0.0196532529994755	-6.117390981329879e-05	3.742247241845614e-09	0.0003862503534613	-0.0424220629973817	-0.0339806186583332	0.0017996314289538	0.001154682444403	-0.0027950161666535	-0.0001099466630398	1.2088268713587376e-08	7.812115371854425e-06	-0.0007189496625648	-0.0001537687188598	5.168886173020398e-07	2.3644818899784216e-08	-3.70047709212873e-05	0.0002017543658063	1.36935307093695e-09	4.0704824121907446e-08
838.2022458610595	0.7531019900332012	702583.0049665241	0.5671626073919679	1244.356391969791	8.765559803355927	76.8350386662092	1548422.830236076	834.3714354516935	0.2912347804733599	696175.6922977195	0.0848176973573661	949.2540601918204	865.9745855534997	1.08645	21.56699	0.126085101810079	0.0567599776364665	0.1505983646	-0.1318090193	-0.0253505738	-0.0850733743	0.0755737668	0.2298576119	-0.1050116132	0.0918059844	0.0992120654	-0.0219873807	-0.1206678103	-0.0830525686	-0.1239004429	-0.1030074758	-0.1558110984	0.1119358168	0.1200037265	0.0241555457	0.0767373039	0.0266844022	0.1808537543	-0.1078741799	-0.0220564813	-0.0628837428	-0.0092775404	0.1470342949	-0.1766964286	-0.1208064524	0.0181126474	-0.0911133649	-0.1107061503	-0.0593672861	0.1068077881	0.0419298859	-0.0541763308	0.171611313	0.188996476	-0.0484258051	0.0199377454	0.0334264354	-0.0378622834	0.1653923758	-0.0298961764	-0.1555742057	0.224311687	0.142964865	0.0339240662	0.0669729243	0.0029645418	0.0973171673	0.087262049	0.1270315295	0.0354578904	-0.1021138763	0.1534727044	-0.0194243044	0.1806398854	-0.0180393194	-0.0821122132	0.0920998205	0.0573202863	0.0497255306	0.1904832981	-0.0243840822	0.0278000937	0.1015125464	-0.0263350427	-0.2003806769	0.0526308053	-0.0318479787	0.0157657352	-0.0862974097	0.1126732374	-0.182152947	-0.0689897803	-0.0713202232	-0.1009457396	-0.1455711508	0.0447575396	0.0120177353	-0.1896681199	0.0556458022	-0.0984987171	-0.0056552796	0.0635888522	-0.0648611583	0.3031705263	0.0120794958	-0.0782853608	0.0452537801	-0.0194794199	-0.0628268103	0.1372213689	0.1440342395	0.1170999511	-0.0397954474154005	0.010790507827437	0.0015836776349919	0.0001164350591739	0.0038207878277063	0.0234740408271817	0.0005510305927561	1.4598419624348628e-05	-0.0285636392539672	0.0138584237434145	0.0008158814874307	0.000192055908652	-0.0020462836526801	0.0007487325139734	5.606003774809277e-07	4.187276787225812e-06	-0.00100943088964	-0.0002904812270752	1.018950720959402e-06	8.437934328311396e-08	-0.0005570336181136	-0.0005200288471923	3.102864517087279e-07	2.704300019121657e-07
