global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53
1190.5814931995485	n/a	1417484.2919492666	n/a	1454.341845118357	n/a	n/a	2115110.202462267	1185.277264125456	n/a	1404882.192852726	n/a	1257.5067156891323	973.5312518561936	n/a	n/a	n/a	n/a	-0.0698470098	0.0076356435	-0.0098655096	0.1564455112	-0.0469619307	-0.0684761393	0.0155466887	-0.0246898578	0.0317181646	-0.0006731042	0.0235844904	-0.1048537155	0.0474833814	-0.110456587	0.0182976727	-0.0842541603	0.0742707048	-0.1099058771	0.1392999525	-0.0552727037	0.0242742875	-0.0308939467	0.0131810855	-0.1002555218	-0.0242216014	0.0115996721	-0.1009199479	0.0760133451	-0.0591942117	0.0367601043	-0.0182440634	0.0673851347	-0.0794469171	0.0523564628	-0.0214632454	-0.084311677	0.1368771994	-0.0297391298	0.0610145675	-0.1406721135	0.0517636527	-0.0246048437	0.0269919305	-0.0555154095	0.093566253	-0.0154333952	0.0701404679	-0.0535499657	0.0373363538	-0.0388043941	0.044995576	-0.0023716943	0.0140750849	-0.0137773263	0.0179516987	-0.0610988355	0.0122873249	-0.0199570252	0.0669198778	0.153366806	0.1532882396	-0.0582933805714702	n/a	0.0033981182184502	n/a	0.0020176021705538	n/a	4.0707185186234055e-06	n/a	0.1182007238411273	n/a	0.0139714111165664	n/a	-0.0085533912295038	n/a	n/a	7.316050152495253e-05	-0.0029240222959705	n/a	n/a	8.549906387332594e-06	0.0025620512767091	n/a	n/a	6.56410674448673e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1190.9850741130656	0.4035809135170893	1418445.4467601045	0.1628775537552883	1458.187357828289	3.8455127099318815	14.787968002247643	2126310.3705302463	1187.3640099539975	2.0867458285415523	1409833.2921340368	4.35450815293557	1260.8359074379082	972.7674441867404	0.657078	26.10668	0.079051487953386	0.0393163851060348	-0.074952656	-0.0065139039	-0.0147139634	0.1534227569	0.0230261171	-0.0347281528	-0.0122369462	-0.0173684783	-0.0078165188	-0.0424885765	0.0180385884	-0.0803161379	0.0349177172	-0.0517863558	-0.0286792034	-0.0916290374	0.0371677338	-0.1265011404	0.0303500869	-0.0090657977	-0.0712685918	-0.0655358756	-0.0162277229	-0.0702238402	-0.0021485074	0.0101139521	-0.0357561523	0.0780120278	-0.0436516511	0.066402091	0.0638442013	0.1135919408	-0.1174177059	0.0757170013	0.0307650851	-0.081253445	0.1309670042	-0.0410392092	0.0688652669	-0.1424993262	0.0512487227	-0.0306710624	0.0211116484	-0.0549060351	0.0946451506	-0.0051364083	0.0677050362	-0.013699942	0.0367942129	-0.0377374025	0.0272086999	-0.0274072001	-0.0130997518	-0.0078369602	0.0111476237	-0.064719457	-0.0061944644	0.0445783365	0.0719686404	0.1531573254	0.1524510324	-0.0502691521020324	0.0080242284694378	0.0025269876530572	6.438824252973614e-05	-0.0241951131677353	-0.0262127153382891	0.0005854035011995	0.0006871064454061	0.1289478583144614	0.0107471344733341	0.0166275501638864	0.0001155008993879	-0.0084722142462647	8.117698323910003e-05	6.589702607801126e-09	7.177841423461054e-05	-0.0028198051722099	0.0001042171237606	1.0861208884932231e-08	7.951301209221702e-06	0.0020660971902623	-0.0004959540864468	2.4597045586328e-07	4.268757599609771e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1192.6418694571214	1.6567953440558083	1422394.628782177	2.744970812085005	1459.4638039594638	1.2764461311749074	1.6293147257913887	2130034.595067828	1190.209755524766	2.8457455707684858	1416599.2621463232	8.098267853548455	1263.1701604738755	995.7789832513452	0.692543	27.515772	0.095919999300568	0.0481515854126442	-0.0767183531	0.0145743159	-0.0362249885	0.0930270999	-0.1076503154	-0.0300260095	-0.0384197733	-0.0280063946	-0.0239207663	-0.0384306788	-0.002242892	-0.0482220147	0.0700097757	-0.0585361011	-0.0013167814	-0.0755610322	0.1432977309	-0.1219608464	0.0307700448	-0.0862319152	-0.0817281161	-0.0365617696	-0.0429330861	-0.0559469347	-0.0111083542	-0.0255021142	-0.0317693824	0.0668503787	-0.0187477142	0.0438096159	0.0258975681	0.1492773852	-0.0187753823	0.0288046494	0.0478556006	-0.0819801547	0.1293843447	-0.0331267372	0.0620963232	-0.1408901785	0.0486818693	-0.0381844962	0.0256045303	-0.04652805	0.093095609	-0.0052898493	0.0759923622	-0.0296626786	0.0169472652	-0.0323424634	0.0229096223	-0.0216504792	0.0042038019	-0.0043761817	0.0075888422	-0.0447534631	0.0018754995	0.0083333304	0.0461454851	0.1527386503	0.1507811905	-0.0502164077626758	5.274433935659878e-05	0.0025216876085873	2.781965334164055e-09	-0.0377375668663262	-0.0135424536985909	0.0014241239529904	0.0001833980521784	0.161431328275512	0.0324834699610505	0.0260600737487961	0.0010551758207104	-0.0078649618717146	0.0006072523745501	3.6875544639673517e-07	6.185762524352442e-05	-0.0024863899022693	0.0003334152699405	1.1116574222956313e-07	6.182134746106739e-06	0.002122256171803	5.615898154070001e-05	3.153831207688684e-09	4.503971258755925e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1191.6420609983209	-0.999808458800544	1420010.801540326	0.9996169542891192	1459.425491241638	-0.0383127178258746	0.001467864347205	2129922.764485896	1186.7586350804054	-3.45112044436064	1408396.0579379068	11.910232321483983	1261.9163855557415	985.5576795599926	0.625083	24.835478	0.0850767485679843	0.0382342162747617	-0.0781275658	0.0046646819	-0.0202345815	0.1104726092	-0.0432445278	-0.0413004493	0.0323730964	0.0074665935	-0.0041753898	-0.0036054277	-0.0168751031	-0.0807109226	0.0200919614	-0.053953564	-0.047463652	-0.0958303189	0.0901594844	-0.215508918	0.131353928	-0.0052185458	-0.0914172923	-0.1438213088	-0.0184550824	-0.0642103701	0.0280526593	0.0130974951	-0.0690414366	0.0573080614	-0.0721837162	0.0859795981	0.0181722757	0.0222440189	-0.1126379916	0.1185722318	-0.0509243488	-0.0812793763	0.1295048898	-0.0317946634	0.0588712978	-0.1361645316	0.0500256089	-0.0294508136	0.0253098008	-0.0547538303	0.089057631	-0.0100070431	0.0526273636	-0.0217592322	0.0148780821	-0.0267475329	0.02543922	-0.0013205244	0.0138027354	0.002490757	0.0121356506	-0.0631429018	-0.0033928305	-0.0044943731	0.0597254258	0.1521113526	0.148287834	-0.039744158846048	0.0104722489166278	0.0015795981623798	0.0001096679973718	-0.0208774718719553	0.0168600949943708	0.0004358688317642	0.0002842628032192	0.1866896314962076	0.0252583032206956	0.0348530185081897	0.0006379818815886	-0.0079410743555091	-7.61124837945007e-05	5.7931101893681315e-09	6.306066191972428e-05	-0.0027648038749523	-0.000278413972683	7.751434018513029e-08	7.644140466951254e-06	0.0018270605995547	-0.0002951955722483	8.714042587500133e-08	3.33815043444518e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1192.2483296409712	0.6062686426503205	1421456.079531686	0.3675616670610621	1458.6421843203243	-0.7833069213136241	0.6135697329778281	2127637.021878767	1187.964076627935	1.2054415475295173	1411258.647358462	1.453089324510357	1259.036174109919	976.357298039842	0.627014	24.912174	0.0998839597599043	0.0578647170175058	-0.0861786908	-0.0110024475	-0.0175128008	0.1572564972	-0.0389947413	-0.0231357397	-0.0491337663	-0.0428338438	-0.0706872819	-0.0370928157	0.0307137438	-0.0677235746	0.0459258048	-0.0041661408	-0.0603638395	-0.0475772432	0.0381956766	-0.1502335939	0.1523315775	0.0133482849	-0.0766805931	0.0497082498	-0.0629799178	-0.0710333186	-0.0122696045	-0.0206977718	-0.0349808562	0.0105862772	0.0377746101	0.034664617	0.094226297	0.1859577609	-0.0776629869	0.0272879907	0.0921351707	-0.0878367781	0.1432804698	-0.0341929948	0.074170224	-0.1163125163	0.0517745212	-0.0549559424	0.0453437487	-0.0653785392	0.0805856186	0.0022303949	0.0690672409	-0.021697619	0.0226853037	-0.0584233322	0.0193893857	-0.0386309415	-0.0037181057	-0.0217461397	0.015513449	-0.0189392059	0.0148008665	0.0519428421	0.0300428492	0.151276289	0.1449845808	-0.0356925707704647	0.0040515880755832	0.0012739596082046	1.6415365934208775e-05	-0.0399540940447167	-0.0190766221727613	0.001596329630934	0.0003639175135222	0.2055147519088223	0.0188251204126146	0.0422363132521447	0.0003543851585494	-0.0089033054387904	-0.0009622310832812	9.258886576327028e-07	7.926884773639471e-05	-0.0026030358972206	0.0001617679777317	2.6168878619403796e-08	6.775795882219054e-06	0.0017924470785888	-3.4613520965900155e-05	1.1980958336568094e-09	3.212866529541524e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1194.828643227966	2.580313586994862	1427615.486677982	6.658018207230291	1464.6353922404214	5.99320792009712	35.918541173514846	2145156.832203253	1190.361898819202	2.397822191267096	1416961.450160456	5.749551260932938	1262.879082295432	985.6835973966168	0.633765	25.180399	0.1197925984845409	0.058509959515485	-0.0886705092	0.0151669405	-0.0402824948	0.1516051665	-0.0449923312	-0.0230017024	0.0135311553	-0.0309315601	0.0192661739	-0.0060606683	-0.0020207121	-0.0158947319	0.0422826222	-0.0062417052	-0.0657629626	-0.0725085483	0.0570300705	-0.1567078583	0.0885650871	-0.1306931875	-0.0350721262	0.0455476747	0.0228111389	-0.0329404522	-0.0241402571	-0.0220147298	-0.0633327167	0.0420948919	-0.0216231329	0.0452670345	0.0242657608	-0.0018029764	-0.0486064439	0.1202046602	-0.1437182208	-0.0914493387	0.1439187796	-0.0250442279	0.0700571757	-0.1090842311	0.0655406774	-0.0528299372	0.0362658598	-0.0302906633	0.0769562122	-0.0381623435	0.0538280886	-0.0221177182	0.0229483694	-0.0361138162	0.01181643	-0.0066549529	0.0184898602	-0.0134132377	0.0363476533	-0.0279383239	0.0156488977	0.0006864797	0.022537971	0.1502346003	0.1408894722	-0.0255044522203604	0.0101881185501042	0.0006504770830606	0.0001037977595909	-0.0257116539834356	0.014242440061281	0.0006610891505639	0.0002028470988991	0.2584533311263328	0.0529385792175104	0.0667981243702978	0.0028024931695686	-0.0085132310954198	0.0003900743433706	1.5215799335600478e-07	7.24751036840226e-05	-0.0022611771040872	0.0003418587931334	1.1686743444262484e-07	5.112921896048176e-06	0.0016759110019799	-0.0001165360766088	1.3580657151395406e-08	2.8086776865572723e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1192.68062202482	-2.1480212031460724	1422487.0661535114	4.6139950891651	1460.9655546085564	-3.6698376318649935	13.467708244252464	2134420.351752687	1188.903489475928	-1.45840934327407	1413491.5072880378	2.1269578125491044	1261.0419932503012	981.9284845987956	0.702691	27.918934	0.1207951499446374	0.0703043244128305	-0.0813758419	-0.0072563675	-0.0162864453	0.1493399382	-0.0602567641	-0.0370363519	-0.0099690125	-0.0245126459	-0.0123837845	-0.0176464968	0.0613795091	-0.06183985	0.0326525748	0.0541664534	0.0268820019	0.0002759307	0.0017784174	-0.057120283	0.1528606803	0.0107874206	-0.0771743226	-0.0647129475	-0.026445518	-0.054733524	-0.0408151134	-0.0104472326	-0.0275759416	-0.0833901091	-0.0649668584	0.0700547336	0.0804351367	0.0672270396	-0.0354760086	0.0945774789	0.0449140669	-0.0815048224	0.1171943879	-0.034945879	0.0900364478	-0.1134013998	0.0598688882	-0.0786124662	0.0580541302	-0.049473596	0.0610348498	0.0076644826	0.0162031419	-0.0274583385	-0.0169727341	-0.031036282	0.0251348667	-0.0699023511	0.0064682611	-0.0176617037	0.0561710019	0.018219844	0.0081045221	0.0917601393	-0.0240956539	0.1489877092	0.136024874	-0.0231195299737692	0.0023849222465912	0.000534512666208	5.6878541222856166e-06	-0.0657538386513323	-0.0400421846678967	0.0043235672973854	0.0016033765529779	0.2430798930029283	-0.0153734381234044	0.059087834382315	0.0002363425997341	-0.0076453522517134	0.0008678788437063	7.532136873531575e-07	5.845141105277916e-05	-0.0026190820754061	-0.0003579049713189	1.280959684947829e-07	6.859590917713525e-06	0.0017100192850895	3.410828310960014e-05	1.1633749766846342e-09	2.924165955378005e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1187.193525982913	-5.48709604190708	1409428.4681357413	30.10822297311234	1465.5085195210163	4.5429649124598654	20.638530195841472	2147715.220788681	1191.9016726731045	2.9981831971765587	1420629.5973209443	8.989102483831852	1268.6269225694648	908.392361173228	1.491644	59.265198	2.2288325984895474	1.596523628110312	0.1720839582	-0.0749778044	0.0573052414	0.0376483423	-0.1037683671	0.0244486238	-0.0519826616	0.0393806094	-0.0956590379	-0.0883196123	-0.0027172786	0.0236264854	-0.0928338158	0.2132806206	0.1599618167	0.1805290304	-0.0169366019	0.0484190826	0.0273336473	-0.0752041195	0.0243515517	-0.0104147758	0.0667140668	0.0162698534	-0.0551491129	0.0623500462	0.2482125424	-0.1268971871	0.006460848	-0.0704584543	-0.0173868661	-0.202655801	0.0388529124	-0.0378818189	0.0142582363	0.1531715892	-0.0712805621	0.1456173794	0.1609800914	0.1803843214	0.0698670409	-0.0468938334	0.0514634315	-0.0437761783	0.0233850907	-0.1237125565	-0.1750982286	-0.1167834208	0.0890386845	-0.0584991048	-0.099886801	-0.0559277057	-0.1575708127	0.0707601635	0.0330216753	-0.1070476615	0.1472776255	0.0274922248	-0.1301205736	0.1475373187	0.1304173552	0.0372587757546512	0.0603783057284204	0.0013882163707353	0.0036455398026346	0.2691809337375161	0.3349347723888484	0.072458375087801	0.1121813017551696	0.3699841140960416	0.1269042210931133	0.1368882446834327	0.0161046813312497	0.0235290681899821	0.0311744204416955	0.0009718444898756	0.0005536170498888	-0.0040202648712981	-0.0014011827958919	1.9633132275037205e-06	1.6162529635393525e-05	0.0001533165370937	-0.0015567027479958	2.4233234456176755e-06	2.3505960546403887e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1197.4074709044896	10.21394492157674	1433784.651377886	104.32467086100328	1466.0602159328805	0.5516964118642136	0.304368930863848	2149332.556741164	1192.0936239019868	0.191951228882317	1421087.2081477717	0.0368452742694316	1267.504709348157	943.5819320459476	1.022442	40.623131	0.811065492597312	0.3902893943782196	0.0838592902	-0.0463581107	0.0301655063	-0.0556591816	0.1107587032	0.0377612212	-0.0968352333	0.0412491953	0.0157506133	0.0315476475	0.0071150894	0.0444248266	-0.0787428269	0.0947164808	0.0642592089	0.034022795	-0.0493171026	0.0778843252	-0.076286864	-0.0320222807	0.0273756589	0.1233604953	-0.0058082709	0.0323975435	-0.0444973012	0.0344430303	0.1417687752	0.0098433979	0.1027833367	-0.1493307142	-8.46854e-05	-0.0248205182	0.059592417	-0.004671953	0.061934119	0.0939223185	-0.1148451013	0.0838928784	0.0538331511	0.1849668907	0.0173637696	0.0153391184	-0.0461243618	-0.0009776882	-0.0273055468	-0.0298890906	-0.130900983	-0.0533263956	0.0340531506	-0.1110934594	-0.0678975058	-0.0321216842	-0.1204081207	0.054471383	-0.0685165509	0.0258223948	0.0565232688	-0.0281013293	-0.0033650036	0.1458854101	0.124097542	0.0158762522155342	-0.0213825235391169	0.0002520553844112	0.0004572123129008	0.1201987525434731	-0.148982181194043	0.014447740113007	0.0221956903133346	0.2485677405004196	-0.1214163735956219	0.0617859216174839	0.0147419357771116	0.0162968420114382	-0.0072322261785439	5.2305095497615696e-05	0.0002655870595457	-0.0029680702536529	0.0010521946176451	1.1071135134015277e-06	8.80944103061919e-06	-0.0019479509520878	-0.0021012674891815	4.415325061091125e-06	3.794512911739767e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1191.6591189633707	-5.748351941118926	1420051.4558085569	33.043550038965726	1469.180904000105	3.120688067224592	9.738694012917955	2158492.528678566	1190.7128159576262	-1.3808079443606402	1417797.0100857397	1.9066305792094569	1270.9475178125483	949.9381412345332	0.737615	29.306524	0.2341941293028583	0.1354912280227176	0.0620862824	-0.0501608352	0.051350136	-0.1412223295	0.0493482374	-0.0033937489	0.030688078	0.047747889	0.0228213004	0.099890377	-0.0413336798	0.0198540399	-0.1120786136	0.0567989536	0.0367271346	0.0468570554	-0.0678653847	0.1124167632	-0.0212828751	-0.0088841427	-0.0118364758	-0.0501731643	-0.020672303	0.0281987557	0.0781730581	0.0307034567	0.0599559631	-0.0693953962	-0.0334959221	-0.0809701982	-0.0669650964	-0.1773958206	0.0498209373	0.024232143	-0.0630070871	0.07186512	-0.1296502205	0.0604113777	0.0444653646	0.1411214177	0.0003773776	0.0249956783	-0.0524944669	0.0041661274	-0.0636576512	-0.0086792983	-0.1376561978	-0.0526631156	-0.0020989014	-0.0389110011	-0.0557861386	-0.0047516892	-0.085440699	0.0582282567	-0.0832201703	0.0404458299	0.0332835322	-0.1493627576	0.0761874582	0.1440342395	0.1170999511	-0.0094983618253081	-0.0253746140408423	9.021887736447022e-05	0.0006438710377217	0.0795508164949438	-0.0406479360485293	0.0063283324050122	0.0016522547050053	0.2280485299204429	-0.0205192105799767	0.0520061319988751	0.0004210380028254	0.0136860691505119	-0.0026107728609263	6.8161349313492965e-06	0.0001873084887925	-0.0027729741644486	0.0001950960892043	3.8062484022812294e-08	7.68938571669941e-06	-0.0020951293746274	-0.0001471784225396	2.1661488061245063e-08	4.389567096426601e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
