global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
1296.9828319236567	n/a	1682164.4663047085	n/a	2127.659236865416	n/a	4526933.828218725	n/a	1208.9136597978309	n/a	n/a	1461472.2368457855	1474.1151868585955	1260.8703943102903	n/a	n/a	n/a	n/a	-0.2767759189	0.0113678765	-0.2033355961	0.1641416106	-0.0007217705	0.0981100868	-0.1527439238	-0.1388724158	0.2373603412	-0.0087477018	0.2368840624	-0.1575018698	0.1014815811	-0.0613041646	0.1040527423	0.1752891634	-0.0475426574	-0.3618310794	-0.2207516193	0.0933354892	-0.0854131417	0.0186187253	-0.1794003549	0.04614969	-0.0266347518	0.0750695029	-0.089380018	0.3197078297	-0.0222365764	0.0340600689	-0.0629065884	0.0890176702	-0.0385691623	0.1081432175	-0.017804926	-0.0835068882	-0.0209058378	0.1209161119	-0.0852315786	-0.1200440648	-0.023007483	-0.2135255088	-0.3239868998	0.1087632842	-0.1341479027	0.118550717	-0.1454189452	0.1066533331	-0.1159561532	0.0238116123	-0.1685414481	0.0874867151	-0.0324940261	0.0518300096	-0.0581498033	0.0701294329	-0.2235697848	0.0382022266	-0.0601512244	0.0962544349	-0.0510241245	-0.0493176341	0.085228439	0.0491008327	-0.4195214715	0.0569850666	-0.0031192176	0.0235537234	-0.1076384092	0.0057605714	-0.0463305722	0.0354158678	-0.1776300943	0.0342054315	-0.0739263909	0.0430044716	-0.0410967067	0.0225726925	-0.0592272172	0.0366070813	-0.0434984063	0.1112400244	-0.0223017593	0.0708026771	-0.0029766036	0.1212970605	-0.0850993503	0.0045787015	0.153366806	0.1532882396	0.0642330353023226	n/a	0.0041258828241494	n/a	-0.1988354648197798	n/a	0.0395355420700978	n/a	-0.2533923045063417	n/a	n/a	0.0642076599830346	-0.0059300625969646	n/a	3.516564240391853e-05	n/a	0.0001770938386391	n/a	n/a	3.1362227683931594e-08	0.0003060279994561	n/a	n/a	9.365313645110276e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1300.5375119258867	3.554680002230043	1691397.819926376	12.63574991825418	2124.2764810895387	-3.382755775877285	4512550.568110153	11.443036639231137	1212.554972677028	3.6413128791971294	13.259159484206895	1470289.561763788	1476.8954528540896	1282.73377095638	1.108349	20.861845	0.044552738443615	0.0252288097036987	-0.1436578704	0.0143562985	-0.2904795509	0.1496063823	-0.1606553331	0.0546301308	-0.1017102636	-0.1951646909	0.0803887618	-0.0558379339	0.2775464033	-0.2246009524	0.1575574786	0.0538574179	-0.017271269	-0.0603138112	-0.0503590691	-0.4267141446	-0.1191948011	0.0133300212	-0.0473929304	0.0728518148	0.1009100166	-0.0696845933	0.0223357955	0.037050523	0.0081713514	-0.1485708311	0.0613105076	0.1287383115	0.0950849922	0.1496855374	-0.0025938154	-0.0640018609	0.0866574324	-0.1706368901	-0.0260736831	-0.0872115057	-0.0520405807	-0.0035301227	-0.0360690375	-0.2416963364	-0.337814514	0.0319096086	-0.1617446129	0.0632783304	-0.0822153581	0.0246636952	0.0378196301	-0.1031224428	-0.0163216172	-0.0956313755	0.0964869062	-0.0274579602	0.1419763638	-0.0268423773	0.1598753372	-0.091010737	-0.1074606396	0.168246028	-0.0275776995	-0.0054467378	-0.0981399407	0.0252691418	-0.4244368855	0.0792332472	-0.0138362162	0.0436746892	-0.0208099591	-0.0257628409	-0.045547696	0.0405143822	-0.0758678391	-0.0304459233	-0.1183247418	-0.0243304869	-0.0327842444	-0.0447263249	0.0003940735	-0.0331674931	0.0074038547	-0.0320260168	0.049563375	-0.0288109311	-0.099936854	-0.0748031869	-0.1110348664	-0.1166667402	0.1531573254	0.1524510324	0.0619080777009202	-0.0023249576014024	0.0038326100846231	5.405427848318813e-06	-0.1766717809364735	0.0221636838833062	0.0312129181792652	0.0004912288832791	-0.2600669139331231	-0.0066746094267813	4.455041100007894e-05	0.0676347997226984	-0.0058720523777547	5.8010219209900064e-05	3.4480999127094625e-05	3.365185532780658e-09	0.0002370428905502	5.994905191109999e-05	3.593888825039761e-09	5.61893319603941e-08	0.0001561975199346	-0.0001498304795215	2.244917259364264e-08	2.4397665233719763e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1300.7814213677127	0.2439094418259628	1692032.306175407	0.0594918158118527	2131.671958044116	7.395476954577134	4544025.336711635	54.693079385681486	1215.6727258560504	3.1177531790224293	9.720384885304464	1477860.17639028	1480.9932492440207	1291.5264384272898	0.971782	18.291315	0.056242093112953	0.0280997649007192	-0.0879075122	0.0376526166	-0.2974812335	0.0532287437	-0.184224414	0.082625416	-0.0983590967	-0.1007469732	0.0205878736	-0.2055705898	0.1361797524	-0.3166393268	0.1437115819	0.0846139265	0.012851086	-0.0846458269	-0.0896825387	-0.3840803031	-0.0753354442	-0.0524606491	-0.1472509808	0.1132245787	0.0632888148	0.0539275533	0.0638909322	-0.1014529108	0.1001437941	-0.1142050816	0.1491301888	-0.0023474424	0.010932715	0.0385515116	0.1269541968	-0.0690374461	0.0113659987	0.0585192856	0.0471508291	0.0196744131	-0.0640733766	0.0216216904	-0.0095809697	-0.252042944	-0.310723473	-0.0230550541	-0.0592013613	0.0378174001	-0.0613415282	-0.1353109482	0.1247839647	-6.42594e-05	-0.0413898102	-0.0948667799	0.1168847993	0.0081676377	0.1317728789	-0.0876054326	0.0776277133	0.0075510388	0.0646973584	-0.1336551478	0.098381354	0.0130517372	-0.0374493308	-0.0286025674	-0.4076083829	0.0728201763	-0.0123857592	0.0226607689	0.0127854713	-0.0124211219	-0.0027937009	0.0529666816	-0.0469777218	-0.0308496222	-0.086868697	-0.0384134946	-0.0159260662	0.0063636055	0.0355760969	-0.0721869092	0.0286846028	-0.100607234	0.0053563567	-0.028339013	0.0232507426	-0.0598985584	0.0508472449	-0.0166461638	0.1527386503	0.1507811905	0.0641145393318964	0.0022064616309761	0.0041106741537412	4.868472928970129e-06	-0.1631941212733778	0.0134776596630957	0.0266323212181899	0.0001816473099942	-0.2683373187259192	-0.0082704047927961	6.839959543670495e-05	0.0720049166210155	-0.0055110529589886	0.000360999418766	3.0371704716777003e-05	1.303205803494619e-07	0.0001530179916948	-8.402489885539998e-05	7.0601836276601965e-09	2.3414505782309885e-08	0.0003569245428348	0.0002007270229002	4.029133772237742e-08	1.27395129277831e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1301.7570508244244	0.9756294567116583	1694571.419371103	0.9518528368034856	2139.520444962172	7.848486918056096	4577547.734411131	61.59874690289768	1214.1877575164146	-1.4849683396357705	2.2051309697206167	1474251.9105027397	1480.8806637412624	1299.1970509256862	0.944635	17.78034	0.0632555640059251	0.0301580337560685	-0.0947230916	0.0976662527	-0.2741776542	-0.0204638808	-0.1674576689	0.1290738127	-0.124773915	-0.0933024398	0.0310410645	-0.1837254317	-0.0088545097	-0.3889073639	0.0057204887	-0.0251841579	0.1258567907	-0.1012356861	0.130633227	-0.3370071239	-0.0989116919	-0.06296721	-0.0384126114	-0.0648977817	0.0173714113	-0.0867733706	-0.0332354707	-0.0956456317	0.0194672507	-0.0432262076	-0.0995063277	-0.2441357971	0.011707938	-0.0064085252	0.0278435299	0.0927895053	-0.1467749026	0.1406031269	-0.0554188633	-0.1501385202	0.0972434225	0.0512005366	0.0735915495	-0.2415460375	-0.2550017206	0.0142797478	0.0050365559	-0.008202804	0.046244342	-0.0829505148	0.0751540115	0.0372255019	-0.0136297537	-0.1399971355	0.0601144917	-0.12276284	-0.1457154648	-0.0657784817	-0.0499098118	-0.0605371266	1.74338e-05	-0.1151888672	-0.0028598073	-0.0907771007	0.0647980695	-0.1043581314	-0.3934939418	0.0600561244	0.012604635	-0.0280651187	0.0430665936	0.058462832	0.0168380955	0.0583124126	-0.0176316267	-0.0509274565	-0.006749206	-0.0362526811	0.0346741492	-0.0013407519	0.0968423146	-0.0351199868	0.0572495583	-0.0454295203	-0.0607150168	-0.0260374823	0.0907324777	0.0172665329	0.1775122388	0.1379105042	0.1521113526	0.148287834	0.0507421579779645	-0.0133723813539319	0.0025747665962607	0.0001788205830749	-0.1669343530473952	-0.0037402317740174	0.0278670782273523	1.3989333723369468e-05	-0.2655430675329029	0.0027942511930162	7.807839729672988e-06	0.0705131207147838	-0.0051530244014445	0.0003580285575441	2.6553660481882448e-05	1.28184448017109e-07	-2.588216752030803e-09	-0.0001530205799115	2.3415297876467683e-08	6.698865955492879e-18	9.996865912623686e-07	-0.0003559248562435	1.2668250329198294e-07	9.99373280749774e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1302.1331191419113	0.3760683174868973	1695550.659966243	0.1414273794174257	2134.1584756276866	-5.361969334485366	4554632.399093491	28.75071514396144	1213.586129176363	-0.6016283400515476	0.3619566595531806	1472791.2929292682	1478.8121779592414	1285.6941358856047	1.634579	30.766779	0.4747616241288228	0.2539951695487484	-0.1594277855	0.1650946157	-0.0891290122	-0.0816396789	-0.1392917104	0.0678391405	-0.1335994096	-0.0528846328	-0.0145291304	-0.0800710889	-0.0036597348	-0.0699330103	-0.093290306	-0.0541508986	-0.0428917912	0.0564275566	-0.0395830277	-0.1506859172	-0.0514064859	0.0072747141	0.1346594428	-0.1034214082	0.0318838896	-0.0739505913	-0.1650891464	0.0811573805	0.1024609216	0.0266826122	0.0142292991	0.0553843175	-0.1449706468	-0.5255666725	-0.2275986688	-0.1130224951	-0.0884960649	0.0733123474	-0.0292916477	0.0962047636	0.1094231385	-0.0276089367	-0.0789435272	-0.1635884362	-0.0611675601	0.0650518947	-0.0460156918	-0.0476955607	0.0518843745	-0.1796621597	-0.0967574123	0.0477359077	0.2969390485	0.2823514264	-0.3996169649	0.1610430592	-0.3959102173	-0.0167472621	0.1130388312	0.0457547553	0.0742044487	-0.1090031951	-0.0291233371	0.2406791846	-0.0728860337	0.1445264919	-0.1497831736	-0.0209553572	0.0440990894	-0.2428163102	0.1033552036	0.0552720086	0.009766887	-0.4165662268	0.5371762995	0.2191698964	0.4534756292	-0.1334988268	0.0488277349	-0.063622464	-0.0491918297	0.2036916524	-0.1059886026	0.0886966867	0.0356715134	0.0169967637	0.0407317783	-0.067909447	-0.0105517262	-0.0370079187	0.151276289	0.1449845808	0.0322983686578624	-0.0184437893201021	0.0010431846179591	0.0003401733644843	-0.0470306620645146	0.1199036909828806	0.0022118831742265	0.0143768951113181	-0.1679844422495833	0.0975586252833196	0.0095176853671711	0.0282187728379035	-0.0013795970067281	0.0037734273947164	1.9032879009731333e-06	1.4238754303196198e-05	-0.0002729972539914	-0.0002729946657746	7.452608754141176e-08	7.452750068684495e-08	-0.0007296886237681	-0.0007306883103593	5.339054068958199e-07	5.324454876565839e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1304.2756371631958	2.142518021284559	1701134.9376974604	4.590383471529102	2135.580759948957	1.4222843212705811	4560705.182264165	2.022892690532118	1216.0144615660322	2.4283323896690945	5.896798194716015	1478691.170737727	1479.2701528984203	1309.08354504797	1.755075	33.034813	0.3394780116539096	0.1671208073455144	-0.1315845346	0.0125091235	0.0691900731	-0.1446876492	0.1170597269	-0.0135651546	-0.1731631981	0.0454303191	-0.0907011309	0.08346752	-0.176915665	-0.0301189861	-0.0571069851	0.0013860714	0.0753079731	0.0063253798	0.2556687217	0.067045171	0.1212881861	-0.0189089723	0.2001260843	-0.1939644763	-0.1244631687	-0.0590799244	0.1300131743	-0.1573751906	-0.0678687607	0.0255400753	0.0524941895	0.1672530701	0.0811054526	-0.1602643403	-0.0373313534	0.1818181051	0.15880398	-0.1210994273	-0.0876385683	0.0499881353	-0.0932981774	0.0628654752	-0.0447652288	-0.0836306413	0.2392193302	0.1096594156	0.0645969027	-0.0204602886	0.1018876458	0.0648575144	-0.1318327428	-0.0903668085	-0.0536915249	-0.1569661614	0.0851338107	-0.3020308713	-0.087510539	0.0177353931	-0.1015560327	0.2396485217	-0.1679521135	-0.0837245707	0.1391282347	-0.1004533394	-0.148343969	0.3037774254	0.125748458	-0.1364648908	0.0994350267	-0.3056774216	-0.0092577009	-0.1052895499	-0.1845002438	0.0412144321	0.0847519805	0.1196120418	-0.095438478	-0.0136537218	-0.0018595612	0.2750184793	0.0274390744	-0.2528071208	0.4038532553	0.0038884097	0.0788592154	0.1197019648	0.1158980752	-0.0946536782	-0.1185793286	0.0474828497	0.1502346003	0.1408894722	0.0155892619422672	-0.0167091067155951	0.0002430250879046	0.0002791942472331	0.009416755368818	0.0564474174333326	8.867528167616262e-05	0.0031863109348929	-0.1079503144195115	0.0600341278300718	0.0036040965043174	0.0116532703832713	0.0010941604254007	0.0024737574321288	1.1971870365130408e-06	6.119475833012474e-06	-0.0016220641929187	-0.0013490669389273	1.8199816057066752e-06	2.631092245948993e-06	-0.0010326114462102	-0.000302922822442	9.176223635628803e-08	1.0662863988443208e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1304.2319201702014	-0.0437169929944047	1701020.901590851	0.0019111754764728	2129.3285433971305	-6.2522165518266775	4534040.045725745	39.09021181093547	1215.1825622558597	-0.8318993101725027	0.6920564622654859	1476668.6596107164	1475.2767377886855	1291.5086295584804	1.096232	20.633764	0.0831631985208105	0.0488951807011787	-0.1519790386	-0.1136097719	0.1320324098	-0.1488837852	0.2186498088	0.0935276265	-0.2480200684	0.1001358643	-0.1173417775	0.0436470902	0.0245635566	0.1502191401	-0.0418179806	-0.0987231019	0.0024648048	-0.2265212637	0.1387037964	0.0622630341	0.166735164	-0.0331801728	0.1523479577	-0.2533936444	-0.1493256642	0.1542972942	0.1129499067	0.1292086098	0.0478897272	0.0863867763	-0.1232700697	0.1860551093	-0.1023437721	0.1515603417	-0.1586417983	-0.0014939282	0.051333241	0.0307593445	0.0859770691	-0.0194100834	-0.0532509911	0.223317395	0.0614442015	-0.1176682449	0.2917642794	0.1695278715	0.0151385197	-0.0340083674	-0.0529997922	0.0290994156	-0.1537319944	0.0163431566	-0.1446255118	0.0298416007	-0.1423680824	-0.1025003459	0.050742532	-0.005912899	-0.0092076475	0.1643751664	0.1219102794	0.0655823851	-0.0696728366	-0.0133511115	-0.1664677308	-0.2052346703	0.1260211888	-0.2080642966	0.1270578589	-0.2544047862	-0.0545046565	-0.0659091076	-0.1312646298	0.1074066361	-0.075852744	0.0631042039	-0.0523248181	0.0537929693	-0.0706590882	0.2745763272	-0.0799602036	-0.072015688	0.0746326539	-0.0629518854	0.0497818591	-0.0589465672	0.1099088731	-0.1349963958	0.1088709521	0.0117580981	0.1489877092	0.136024874	0.0156001728427668	1.0910900499599628e-05	0.0002433653927241	1.1904774971216338e-10	-0.0193587769984731	-0.0287755323672911	0.0003747622468766	0.000828031263021	-0.0940961585835467	0.0138541558359648	0.0001919376339271	0.0088540870601799	0.0004420356128563	-0.0006521248125444	1.953954830332448e-07	4.252667711360688e-07	-0.0016212655656908	7.986272279000318e-07	6.378054491432895e-13	2.628502034494709e-06	-0.001190139994779	-0.0001575285485688	2.4815243614192804e-08	1.4164332071725584e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1307.056684986267	2.824764816065681	1708397.1777672898	7.97929626608258	2129.2928507638244	-0.0356926333060982	4533888.044313934	0.0012739640723235	1219.0252562177943	3.842693961934629	14.766296885088853	1486022.575296859	1477.2710872181674	1293.1551855784626	1.144805	21.548033	0.102421188689327	0.0562792039213439	-0.1514066178	-0.1900819106	0.2144615499	0.0166669805	0.1404667527	0.1262283608	-0.2090802589	0.1416675549	-0.0885388848	0.2276807721	0.0194933232	0.2688744713	0.1364670728	-0.1306246899	-0.0295802293	0.0019849045	0.0936460386	0.0532730603	0.118378073	-0.1699623479	0.0208622139	-0.1171262529	-0.3074130243	0.1224839271	0.0619674373	0.0768785072	0.1904835242	0.0464625371	-0.0529694968	-0.0457908143	0.0576533248	0.0219560075	0.0830326628	0.0588841163	-0.1209312663	0.1076125793	0.1117467811	-0.002370281	0.2510756297	-0.2185615279	-0.1395711508	-0.0817483465	0.2894637594	0.185100662	-0.0219907791	-0.0087741797	-0.2151343475	0.0931247514	-0.0223988013	0.0681619103	-0.1202414385	0.1479816877	-0.099704281	0.0294178165	0.0319183444	-0.0126175181	0.0961507012	-0.1582305885	0.0826687645	-0.0537577899	-0.138056814	-0.0323205074	-0.0135630351	-0.0106667248	0.1029392552	-0.2614489693	0.1063028691	-0.0716413278	-0.1743600225	-0.033186286	-0.0813611158	0.1220412433	-0.1562138141	-0.0209794825	0.1616871608	-0.0113376304	-0.1081306941	0.0188992696	-0.1154818028	0.1488039127	-0.0635897557	-0.0206823602	-0.1112879053	0.0595060102	0.005963704	0.0599046827	-0.0592982961	-0.0001679767	0.1475373187	0.1304173552	0.0088428044587942	-0.0067573683839726	7.819519069647058e-05	4.566202747671247e-05	-0.0549647650303199	-0.0356059880318467	0.0030211253948382	0.001267786383724	-0.0967576923724493	-0.0026615337889026	7.083762109470249e-06	0.0093620510332415	-0.000253097930305	-0.0006951335431613	6.405856232467464e-08	4.83210642827983e-07	-0.0016209072517325	3.583139582998951e-07	1.2838889271253892e-13	2.627340318719006e-06	-0.0007377058822065	0.0004524341125725	2.046966262192657e-07	5.442099686420704e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1309.6359335011423	2.5792485148751894	1715146.2783174084	6.65252290148587	2131.8453979492188	2.55254718539436	4544764.800757263	6.515497133664669	1219.2761101905337	0.2508539727393781	0.0629277156391286	1486634.2328813586	1476.760169474284	1297.113104525711	1.170393	22.029659	0.1420784797508884	0.0752705314517348	-0.0859687724	-0.1301309968	0.2247293808	0.1377882057	-0.0082874599	0.0598756842	-0.0285530769	0.0314852512	-0.1376236399	0.1877904648	0.1096808599	0.178100667	0.1675814667	-0.0655268021	-0.0207226318	0.3075948123	0.028306895	0.118120616	0.172756599	-0.0669506174	0.0749114646	0.0153020381	-0.1436545431	-0.0345673633	-0.0816297415	0.1587488545	0.214875036	-0.0166644252	-0.1080747095	-0.0054654634	0.1524007456	0.0616428233	-0.0046678365	-0.0248329769	0.0058724392	0.0289762315	0.0321418965	0.0009818352	-0.2765939251	-0.1910349286	0.0397593279	0.0424648154	0.2267548295	0.0981015567	-0.0962658686	0.0276484912	-0.2439025906	0.0872229498	-0.0103512466	-0.0698346929	0.1179455753	-0.0341950518	0.0072642041	-0.1229279268	0.0349212206	0.1177442363	0.1314607903	0.0197245322	-0.1226047799	0.2643129351	0.0689555715	-0.0257553877	0.3037239919	-0.0234976702	0.1304808754	-0.1218695596	-0.0271410313	-0.0466553954	-0.1589451564	-0.1352401478	-0.0974904807	0.0345664878	-0.0812084069	-0.0416474839	0.1465866703	-0.0179308495	-0.0502325306	-0.2014279005	0.0039513336	0.0530573337	0.0235181807	0.0799413513	-0.08343179	-0.0838442418	-0.0604602638	0.1790659085	-0.2337079959	0.0272675789	0.1458854101	0.124097542	0.0152572499774379	0.0064144455186437	0.000232783676874	4.114511131164825e-05	0.0072914998368531	0.062256264867173	5.316596987082878e-05	0.0038758425152115	-0.0851749582159726	0.0115827341564767	0.0001341597305396	0.0072547735070926	0.0002622116315577	0.0005153095618627	6.875493972415103e-08	2.655439445471279e-07	-0.0011240690191942	0.0004968382325383	2.46848229311782e-07	1.2635311599122106e-06	-0.0005133529724356	0.0002243529097708	5.0334228122669574e-08	2.63531274308466e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1309.875495039067	0.239561537924601	1715773.8125038403	0.0573897304528	2132.6175473578355	0.7721494086167695	4548057.60329855	0.5962147092272269	1222.344433853474	3.0683236629402018	9.414610100558775	1494125.9149725696	1479.2007921720806	1320.9273970067402	1.128515	21.241415	0.0468594076111269	0.0252998918729477	0.0846005898	-0.1992098916	0.1413062056	0.0814928854	-0.1082169054	-0.0251671424	0.0885147638	0.0591009013	-0.0526644825	0.0068685632	0.0499810651	0.1356881874	0.1822285269	0.0007415932	-0.0230527279	-0.0431399279	0.039398893	0.1267968113	0.2082431058	-0.0719658215	-0.1072134378	0.12272496	-0.1487281992	-0.0716943555	-0.1704360209	-0.1364053964	0.0549204313	0.0877416105	-0.0169004412	-0.1285899757	0.1358343826	0.0645259967	0.1046516855	-0.1220624807	0.1024342513	-0.1688073971	0.136272932	-0.0075854146	-0.0230491266	0.0337471955	-0.0733616546	0.1065702653	0.157450882	-0.0616569276	-0.0138277599	0.1609909531	-0.1611856263	-0.0118271901	0.1014512366	-0.1384417789	0.1120876961	0.1005647948	0.0078167795	-0.0591554551	0.0745634374	-0.0341526557	0.0226741044	-0.1740324834	0.1256112011	-0.1098942929	0.0055628425	-0.0562869293	-0.162760247	-0.0164944476	0.1368275763	-0.0809774794	-0.0366433224	0.0193788361	-0.1305667189	-0.1601981844	-0.1172306901	0.0118547773	0.0013427587	-0.0933452986	0.0619708212	-0.1638505561	0.0218166182	-0.2052745348	0.0310392629	0.0435562313	-0.0104416158	-0.0828142252	-0.0070095324	-0.120611167	-0.0996926334	0.0412829611	-0.0489813591	0.09344289	0.1440342395	0.1170999511	0.0151928484508658	-6.440152657210055e-05	0.0002308226440509	4.147556624816973e-09	0.0073740179005312	8.25180636781003e-05	5.4376139997354566e-05	6.809230833183015e-09	-0.0940461146827544	-0.0088711564667817	7.869741705812452e-05	0.0088446716869217	0.0005748959027401	0.0003126842711823	3.305052989873545e-07	9.777145344486865e-08	-0.000980061374419	0.0001440076447751	2.0738201753700145e-08	9.605202976280597e-07	-0.0002132182573113	0.0003001347151243	9.008084722274473e-08	4.546202525086773e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
